r          d               f
#0.0000     74.46982836  -0.48699590 
1.2019     0.08121811   -1.33744560 
1.2019     0.08121811   -1.33744560 
1.4961     0.02888066   -1.51708792 
1.4961     0.02888066   -1.51708792 
1.5275     0.14333055   -1.47786846 
1.5275     0.14333055   -1.47786846 
2.2432     0.00005463   -1.84109341 
2.2432     0.00005463   -1.84109341 
2.3059     0.09332681   -1.82088940 
2.3059     0.09332681   -1.82088940 
2.4037     0.03817614   -1.88048841 
2.4037     0.03817614   -1.88048841 
2.7746     0.03579758   -2.00167261 
2.7746     0.03579758   -2.00167261 
2.9921     0.01067108   -2.07775294 
2.9921     0.01067108   -2.07775294 
3.0551     0.05229793   -2.07720745 
3.0551     0.05229793   -2.07720745 
3.2733     0.00532339   -2.15896899 
3.2733     0.00532339   -2.15896899 
3.3452     0.04549597   -2.16040841 
3.3452     0.04549597   -2.16040841 
3.6056     0.02191129   -2.23855944 
3.6056     0.02191129   -2.23855944 
3.6188     0.00158760   -2.25082995 
3.6188     0.00158760   -2.25082995 
3.7225     0.04423760   -2.25768601 
3.7225     0.04423760   -2.25768601 
4.1881     0.01504934   -2.38043242 
4.1881     0.01504934   -2.38043242 
4.2220     0.02459604   -2.38383375 
4.2220     0.02459604   -2.38383375 
4.3916     0.00672760   -2.42916147 
4.3916     0.00672760   -2.42916147 
4.4668     0.02620589   -2.43682013 
4.4668     0.02620589   -2.43682013 
4.4864     0.00129833   -2.45199393 
4.4864     0.00129833   -2.45199393 
4.4882     0.00634861   -2.45017284 
4.4882     0.00634861   -2.45017284 
4.5826     0.02838938   -2.46048779 
4.5826     0.02838938   -2.46048779 
4.6119     0.03113696   -2.46542186 
4.6119     0.03113696   -2.46542186 
4.8074     0.01455701   -2.51316960 
4.8074     0.01455701   -2.51316960 
5.0632     0.00215937   -2.56960693 
5.0632     0.00215937   -2.56960693 
5.2022     0.02594148   -2.58605128 
5.2022     0.02594148   -2.58605128 
5.4816     0.00221869   -2.64900752 
5.4816     0.00221869   -2.64900752 
5.5449     0.00634932   -2.65882126 
5.5449     0.00634932   -2.65882126 
5.5493     0.01331484   -2.65655416 
5.5493     0.01331484   -2.65655416 
5.6188     0.02168471   -2.66549318 
5.6188     0.02168471   -2.66549318 
5.6216     0.01714583   -2.66801685 
5.6216     0.01714583   -2.66801685 
5.6443     0.00840157   -2.67595494 
5.6443     0.00840157   -2.67595494 
5.7113     0.01711877   -2.68415268 
5.7113     0.01711877   -2.68415268 
5.8324     0.00108462   -2.71264737 
5.8324     0.00108462   -2.71264737 
5.9842     0.00439250   -2.73765261 
5.9842     0.00439250   -2.73765261 
6.0013     0.02116937   -2.73321363 
6.0013     0.02116937   -2.73321363 
6.0093     0.01055436   -2.73926977 
6.0093     0.01055436   -2.73926977 
6.1101     0.01836146   -2.75306849 
6.1101     0.01836146   -2.75306849 
6.5309     0.00209884   -2.82991098 
6.5309     0.00209884   -2.82991098 
6.5466     0.00274460   -2.83216937 
6.5466     0.00274460   -2.83216937 
6.6904     0.01564099   -2.84951998 
6.6904     0.01564099   -2.84951998 
6.7034     0.01733196   -2.85084445 
6.7034     0.01733196   -2.85084445 
6.7153     0.00559764   -2.85788280 
6.7153     0.00559764   -2.85788280 
6.7296     0.00114558   -2.86207474 
6.7296     0.00114558   -2.86207474 
6.7928     0.01221426   -2.86719400 
6.7928     0.01221426   -2.86719400 
6.9178     0.01664519   -2.88472208 
6.9178     0.01664519   -2.88472208 
6.9455     0.00823440   -2.89268948 
6.9455     0.00823440   -2.89268948 
6.9796     0.01085384   -2.89680361 
6.9796     0.01085384   -2.89680361 
7.1171     0.00548689   -2.92012882 
7.1171     0.00548689   -2.92012882 
7.2111     0.00810138   -2.93316535 
7.2111     0.00810138   -2.93316535 
7.2166     0.01258308   -2.93202789 
7.2166     0.01258308   -2.93202789 
7.2376     0.00114884   -2.94016937 
7.2376     0.00114884   -2.94016937 
7.4450     0.01518217   -2.96472517 
7.4450     0.01518217   -2.96472517 
7.4803     0.00329149   -2.97509551 
7.4803     0.00329149   -2.97509551 
7.6376     0.01308722   -2.99359505 
7.6376     0.01308722   -2.99359505 
7.6522     0.00289349   -3.00015570 
7.6522     0.00289349   -3.00015570 
7.7101     0.00141238   -3.00908493 
7.7101     0.00141238   -3.00908493 
7.8000     0.01174616   -3.01733825 
7.8000     0.01174616   -3.01733825 
7.8952     0.00486092   -3.03375177 
7.8952     0.00486092   -3.03375177 
7.9112     0.01307308   -3.03238971 
7.9112     0.01307308   -3.03238971 
