r           d           f
0.00       70.5343    -0.46013564
2.26       0.1369     -1.38994446
4.37       0.1200     -1.91133527
4.37       0.1200     -1.91133527
2.26       0.1369     -1.38994446
3.11       0.2026     -1.59455124
3.11       0.2026     -1.59455124
1.56       0.1310     -1.14018164
1.56       0.1310     -1.14018164
4.51       0.0606     -1.96567361
3.11       0.0958     -1.64849588
6.23       0.0682     -2.24636521
5.21       0.0779     -2.08172874
2.31       0.0718     -1.50001588
8.75       0.0403     -2.58498529
6.23       0.0682     -2.24636521
7.43       0.0529     -2.41952143
5.78       0.0719     -2.17703321
8.75       0.0403     -2.58498529
3.11       0.0958     -1.64849588
7.43       0.0529     -2.41952143
5.78       0.0719     -2.17703321
4.51       0.0606     -1.96567361
5.21       0.0779     -2.08172874
2.31       0.0718     -1.50001588
6.77       0.0342     -2.33905099
3.22       0.0497     -1.74094899
8.28       0.0410     -2.53015606
7.40       0.0417     -2.42052066
4.29       0.0123     -1.94501539
7.25       0.0473     -2.39808437
4.67       0.0563     -1.99632920
10.52      0.0308     -2.77805187
9.34       0.0363     -2.65262928
13.12      0.0215     -3.01984764
10.52      0.0308     -2.77805187
11.79      0.0257     -2.90123970
10.13      0.0311     -2.73867119
8.28       0.0410     -2.53015606
9.34       0.0363     -2.65262928
13.12      0.0215     -3.01984764
7.25       0.0473     -2.39808437
11.79      0.0257     -2.90123970
10.13      0.0311     -2.73867119
3.22       0.0497     -1.74094899
4.67       0.0563     -1.99632920
6.77       0.0342     -2.33905099
7.40       0.0417     -2.42052066
4.29       0.0123     -1.94501539
9.02       0.0225     -2.62383423
4.61       0.0217     -2.02114095
10.42      0.0271     -2.76940318
9.62       0.0264     -2.68731324
6.45       0.0180     -2.30216425
6.22       0.0373     -2.25971660
4.51       0.0093     -1.99580083
12.45      0.0233     -2.96145602
11.38      0.0257     -2.86270116
11.56      0.0245     -2.88056124
8.75       0.0336     -2.58768131
14.86      0.0180     -3.16131135
13.62      0.0206     -3.06178798
17.50      0.0138     -3.35312706
14.86      0.0180     -3.16131135
16.16      0.0157     -3.25866296
14.50      0.0180     -3.13301480
12.45      0.0233     -2.96145602
13.62      0.0206     -3.06178798
10.42      0.0271     -2.76940318
11.38      0.0257     -2.86270116
17.50      0.0138     -3.35312706
11.56      0.0245     -2.88056124
16.16      0.0157     -3.25866296
14.50      0.0180     -3.13301480
6.22       0.0373     -2.25971660
8.75       0.0336     -2.58768131
4.61       0.0217     -2.02114095
4.51       0.0093     -1.99580083
9.02       0.0225     -2.62383423
9.62       0.0264     -2.68731324
6.45       0.0180     -2.30216425
11.28      0.0161     -2.85773397
6.51       0.0002     -2.31765426
12.60      0.0193     -2.97590644
11.85      0.0185     -2.91016348
8.66       0.0152     -2.58653608
5.92       0.0054     -2.22864968
5.39       0.0235     -2.15631624
14.48      0.0179     -3.13141874
13.48      0.0190     -3.05083382
10.26      0.0252     -2.75429901
7.78       0.0269     -2.47498073
16.73      0.0150     -3.29949171
15.57      0.0165     -3.21495065
15.91      0.0153     -3.24060457
13.02      0.0197     -3.01176518
19.22      0.0121     -3.46680630
17.95      0.0135     -3.38372771
21.87      0.0097     -3.62760416
19.22      0.0121     -3.46680630
20.53      0.0108     -3.54820030
18.87      0.0121     -3.44438022
16.73      0.0150     -3.29949171
17.95      0.0135     -3.38372771
14.48      0.0179     -3.13141874
15.57      0.0165     -3.21495065
12.60      0.0193     -2.97590644
13.48      0.0190     -3.05083382
21.87      0.0097     -3.62760416
15.91      0.0153     -3.24060457
20.53      0.0108     -3.54820030
18.87      0.0121     -3.44438022
10.26      0.0252     -2.75429901
13.02      0.0197     -3.01176518
5.92       0.0054     -2.22864968
7.78       0.0269     -2.47498073
6.51       0.0002     -2.31765426
5.39       0.0235     -2.15631624
11.28      0.0161     -2.85773397
11.85      0.0185     -2.91016348
8.66       0.0152     -2.58653608
13.53      0.0123     -3.05805581
8.58       0.0063     -2.58048401
14.80      0.0145     -3.15795737
14.10      0.0138     -3.10298177
10.89      0.0122     -2.82273782
6.45       0.0141     -2.31518961
6.92       0.0103     -2.37964657
16.56      0.0141     -3.28815052
15.63      0.0146     -3.22044382
9.33       0.0205     -2.65881651
7.39       0.0094     -2.43373845
18.68      0.0124     -3.43202654
17.58      0.0133     -3.35917465
14.50      0.0162     -3.13358040
11.79      0.0197     -2.90340801
21.04      0.0105     -3.57905728
19.84      0.0115     -3.50559006
20.27      0.0106     -3.53233020
17.34      0.0131     -3.34281411
23.58      0.0088     -3.72361348
22.30      0.0096     -3.65186062
26.25      0.0074     -3.86304958
23.58      0.0088     -3.72361348
24.90      0.0080     -3.79406228
23.24      0.0088     -3.70486056
21.04      0.0105     -3.57905728
22.30      0.0096     -3.65186062
18.68      0.0124     -3.43202654
19.84      0.0115     -3.50559006
16.56      0.0141     -3.28815052
17.58      0.0133     -3.35917465
14.80      0.0145     -3.15795737
15.63      0.0146     -3.22044382
26.25      0.0074     -3.86304958
20.27      0.0106     -3.53233020
24.90      0.0080     -3.79406228
23.24      0.0088     -3.70486056
14.50      0.0162     -3.13358040
17.34      0.0131     -3.34281411
9.33       0.0205     -2.65881651
11.79      0.0197     -2.90340801
6.45       0.0141     -2.31518961
7.39       0.0094     -2.43373845
8.58       0.0063     -2.58048401
6.92       0.0103     -2.37964657
13.53      0.0123     -3.05805581
14.10      0.0138     -3.10298177
10.89      0.0122     -2.82273782
15.79      0.0098     -3.23431603
10.72      0.0073     -2.80832766
17.02      0.0114     -3.32115978
16.34      0.0108     -3.27379470
13.13      0.0099     -3.02567835
7.63       0.0124     -2.47408983
8.77       0.0014     -2.60602866
18.69      0.0114     -3.43296288
17.80      0.0115     -3.37473694
8.89       0.0100     -2.61465040
7.68       0.0060     -2.47717173
20.69      0.0104     -3.55812892
19.65      0.0110     -3.49447189
13.32      0.0159     -3.03871192
10.89      0.0163     -2.82028560
22.95      0.0092     -3.68845582
21.79      0.0098     -3.62302556
18.80      0.0113     -3.43998015
15.99      0.0136     -3.24721057
25.38      0.0079     -3.81891380
24.14      0.0085     -3.75388432
24.63      0.0079     -3.77990943
21.69      0.0094     -3.61701669
27.95      0.0068     -3.94670593
26.65      0.0073     -3.88325575
30.62      0.0058     -4.07041908
27.95      0.0068     -3.94670593
29.27      0.0063     -4.00912427
27.61      0.0067     -3.93048643
25.38      0.0079     -3.81891380
26.65      0.0073     -3.88325575
22.95      0.0092     -3.68845582
24.14      0.0085     -3.75388432
20.69      0.0104     -3.55812892
21.79      0.0098     -3.62302556
18.69      0.0114     -3.43296288
19.65      0.0110     -3.49447189
17.02      0.0114     -3.32115978
17.80      0.0115     -3.37473694
30.62      0.0058     -4.07041908
24.63      0.0079     -3.77990943
29.27      0.0063     -4.00912427
27.61      0.0067     -3.93048643
18.80      0.0113     -3.43998015
21.69      0.0094     -3.61701669
13.32      0.0159     -3.03871192
15.99      0.0136     -3.24721057
8.89       0.0100     -2.61465040
10.89      0.0163     -2.82028560
7.63       0.0124     -2.47408983
7.68       0.0060     -2.47717173
10.72      0.0073     -2.80832766
