r          d           f
0.00       70.5343    -0.46013564
2.26       0.1369     -1.38994446
4.37       0.1200     -1.91133527
4.37       0.1200     -1.91133527
2.26       0.1369     -1.38994446
3.11       0.2026     -1.59455124
3.11       0.2026     -1.59455124
1.56       0.1310     -1.14018164
1.56       0.1310     -1.14018164
4.51       0.0606     -1.96567361
3.11       0.0958     -1.64849588
6.23       0.0682     -2.24636521
5.21       0.0779     -2.08172874
2.31       0.0718     -1.50001588
8.75       0.0403     -2.58498529
6.23       0.0682     -2.24636521
7.43       0.0529     -2.41952143
5.78       0.0719     -2.17703321
8.75       0.0403     -2.58498529
3.11       0.0958     -1.64849588
7.43       0.0529     -2.41952143
5.78       0.0719     -2.17703321
4.51       0.0606     -1.96567361
5.21       0.0779     -2.08172874
2.31       0.0718     -1.50001588
6.77       0.0342     -2.33905099
3.22       0.0497     -1.74094899
8.28       0.0410     -2.53015606
7.40       0.0417     -2.42052066
4.29       0.0123     -1.94501539
7.25       0.0473     -2.39808437
4.67       0.0563     -1.99632920
10.52      0.0308     -2.77805187
9.34       0.0363     -2.65262928
13.12      0.0215     -3.01984764
10.52      0.0308     -2.77805187
11.79      0.0257     -2.90123970
10.13      0.0311     -2.73867119
8.28       0.0410     -2.53015606
9.34       0.0363     -2.65262928
13.12      0.0215     -3.01984764
7.25       0.0473     -2.39808437
11.79      0.0257     -2.90123970
10.13      0.0311     -2.73867119
3.22       0.0497     -1.74094899
4.67       0.0563     -1.99632920
6.77       0.0342     -2.33905099
7.40       0.0417     -2.42052066
4.29       0.0123     -1.94501539
9.02       0.0225     -2.62383423
4.61       0.0217     -2.02114095
10.42      0.0271     -2.76940318
9.62       0.0264     -2.68731324
6.45       0.0180     -2.30216425
6.22       0.0373     -2.25971660
4.51       0.0093     -1.99580083
