r           d           f
0.0000     70.6228    -0.60694123
1.4774     0.0937     -1.27159276
1.4774     0.0937     -1.27159276
2.3689     0.1486     -1.56544775
2.3689     0.1486     -1.56544775
2.3793     0.0494     -1.65940537
2.3793     0.0494     -1.65940537
2.9548     0.0864     -1.75987933
2.9548     0.0864     -1.75987933
3.1509     0.1989     -1.75214331
3.1509     0.1989     -1.75214331
3.1742     0.0572     -1.87833662
3.1742     0.0572     -1.87833662
4.3140     0.1218     -2.04507089
4.3140     0.1218     -2.04507089
4.3423     0.0202     -2.11563106
4.3423     0.0202     -2.11563106
4.4323     0.0527     -2.10067707
4.4323     0.0527     -2.10067707
4.5125     0.0222     -2.12959544
4.5125     0.0222     -2.12959544
4.7379     0.0624     -2.15292860
4.7379     0.0624     -2.15292860
4.7585     0.0128     -2.19014055
4.7585     0.0128     -2.19014055
5.3756     0.0758     -2.25666815
5.3756     0.0758     -2.25666815
5.4120     0.0221     -2.30632749
5.4120     0.0221     -2.30632749
5.6265     0.0739     -2.29811336
5.6265     0.0739     -2.29811336
5.6570     0.0022     -2.33725410
5.6570     0.0022     -2.33725410
5.9097     0.0354     -2.36003077
5.9097     0.0354     -2.36003077
6.3019     0.0671     -2.40420911
6.3019     0.0671     -2.40420911
6.3484     0.0171     -2.44848567
6.3484     0.0171     -2.44848567
6.8035     0.0218     -2.49600202
6.8035     0.0218     -2.49600202
6.8143     0.0061     -2.50439119
6.8143     0.0061     -2.50439119
7.0051     0.0487     -2.51134742
7.0051     0.0487     -2.51134742
7.0365     0.0045     -2.53533402
7.0365     0.0045     -2.53533402
7.1068     0.0348     -2.53132467
7.1068     0.0348     -2.53132467
7.1378     0.0055     -2.55320006
7.1378     0.0055     -2.55320006
7.3871     0.0257     -2.57228328
7.3871     0.0257     -2.57228328
7.4091     0.0531     -2.56275281
7.4091     0.0531     -2.56275281
7.4618     0.0100     -2.59757238
7.4618     0.0100     -2.59757238
7.6870     0.0406     -2.60390525
7.6870     0.0406     -2.60390525
7.7347     0.0103     -2.63234023
7.7347     0.0103     -2.63234023
8.4172     0.0345     -2.69544446
8.4172     0.0345     -2.69544446
8.4492     0.0067     -2.71154321
8.4492     0.0067     -2.71154321
8.4876     0.0399     -2.70128085
8.4876     0.0399     -2.70128085
8.5481     0.0103     -2.73044640
8.5481     0.0103     -2.73044640
8.6280     0.0409     -2.71708642
8.6280     0.0409     -2.71708642
8.6846     0.0048     -2.74383036
8.6846     0.0048     -2.74383036
8.8645     0.0197     -2.75364213
8.8645     0.0197     -2.75364213
9.0250     0.0095     -2.77615364
9.0250     0.0095     -2.77615364
9.1344     0.0169     -2.78502847
9.1344     0.0169     -2.78502847
9.1558     0.0023     -2.79381219
9.1558     0.0023     -2.79381219
9.4528     0.0358     -2.81139693
9.4528     0.0358     -2.81139693
9.4757     0.0227     -2.81969820
9.4757     0.0227     -2.81969820
9.5170     0.0029     -2.83537852
9.5170     0.0029     -2.83537852
9.5225     0.0082     -2.83826298
9.5225     0.0082     -2.83826298
9.8486     0.0258     -2.85786507
9.8486     0.0258     -2.85786507
9.8809     0.0071     -2.86947342
9.8809     0.0071     -2.86947342
9.9174     0.0318     -2.86233275
9.9174     0.0318     -2.86233275
9.9765     0.0014     -2.88314210
9.9765     0.0014     -2.88314210
10.0253    0.0258     -2.87622023
10.0253    0.0258     -2.87622023
10.0838    0.0057     -2.89603506
10.0838    0.0057     -2.89603506
10.3420    0.0157     -2.91297622
10.3420    0.0157     -2.91297622
10.5373    0.0307     -2.92584325
10.5373    0.0307     -2.92584325
10.6138    0.0058     -2.94946104
10.6138    0.0058     -2.94946104
10.7513    0.0263     -2.94891392
10.7513    0.0263     -2.94891392
10.8240    0.0064     -2.97034340
10.8240    0.0064     -2.97034340
11.2531    0.0252     -2.99766646
