r           d           f
0.0000     42.0108    -0.90834599
1.0000     0.0519     -1.57580116
1.0000     0.0519     -1.57580116
1.0000     0.0519     -1.57580116
1.0000     0.0519     -1.57580116
1.4142     0.0413     -1.79098700
1.4142     0.0413     -1.79098700
1.4142     0.0413     -1.79098700
1.4142     0.0413     -1.79098700
2.0000     0.0214     -2.02932535
2.0000     0.0214     -2.02932535
2.0000     0.0214     -2.02932535
2.0000     0.0214     -2.02932535
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.2361     0.0193     -2.10845222
2.8284     0.0138     -2.28283814
2.8284     0.0138     -2.28283814
2.8284     0.0138     -2.28283814
2.8284     0.0138     -2.28283814
3.0000     0.0121     -2.32828924
3.0000     0.0121     -2.32828924
3.0000     0.0121     -2.32828924
3.0000     0.0121     -2.32828924
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.1623     0.0114     -2.36915726
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
3.6056     0.0095     -2.47329803
4.0000     0.0080     -2.55818010
4.0000     0.0080     -2.55818010
4.0000     0.0080     -2.55818010
4.0000     0.0080     -2.55818010
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.1231     0.0077     -2.58331661
4.2426     0.0075     -2.60714855
4.2426     0.0075     -2.60714855
4.2426     0.0075     -2.60714855
4.2426     0.0075     -2.60714855
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
4.4721     0.0069     -2.65163789
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0059     -2.74768555
5.0000     0.0058     -2.74772096
5.0000     0.0058     -2.74772096
5.0000     0.0058     -2.74772096
5.0000     0.0058     -2.74772096
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.0990     0.0056     -2.76486745
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.3852     0.0052     -2.81304634
5.6569     0.0049     -2.85702824
5.6569     0.0049     -2.85702824
5.6569     0.0049     -2.85702824
5.6569     0.0049     -2.85702824
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
5.8310     0.0047     -2.88439303
6.0000     0.0044     -2.91039009
6.0000     0.0044     -2.91039009
6.0000     0.0044     -2.91039009
6.0000     0.0044     -2.91039009
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.0828     0.0044     -2.92290594
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.3246     0.0041     -2.95875114
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.4031     0.0041     -2.97016782
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
6.7082     0.0038     -3.01356300
7.0000     0.0036     -3.05369993
7.0000     0.0036     -3.05369993
7.0000     0.0036     -3.05369993
7.0000     0.0036     -3.05369993
7.0711     0.0035     -3.06327011
7.0711     0.0035     -3.06327011
7.0711     0.0035     -3.06327011
7.0711     0.0035     -3.06327011
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.0711     0.0035     -3.06328075
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2111     0.0034     -3.08194216
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.2801     0.0034     -3.09104825
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.6158     0.0032     -3.13440470
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
7.8102     0.0030     -3.15886709
8.0000     0.0029     -3.18230767
8.0000     0.0029     -3.18230767
8.0000     0.0029     -3.18230767
8.0000     0.0029     -3.18230767
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18989926
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.0623     0.0029     -3.18990428
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.2462     0.0028     -3.21209515
8.4853     0.0027     -3.24038129
8.4853     0.0027     -3.24038129
8.4853     0.0027     -3.24038129
8.4853     0.0027     -3.24038129
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.5440     0.0027     -3.24724187
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.6023     0.0026     -3.25401439
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
8.9443     0.0025     -3.29305916
9.0000     0.0025     -3.29931845
9.0000     0.0025     -3.29931845
9.0000     0.0025     -3.29931845
9.0000     0.0025     -3.29931845
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.0554     0.0024     -3.30550688
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32367970
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.2195     0.0024     -3.32368339
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4340     0.0023     -3.34706174
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.4868     0.0023     -3.35276480
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8489     0.0022     -3.39118675
9.8995     0.0021     -3.39647427
9.8995     0.0021     -3.39647427
9.8995     0.0021     -3.39647427
9.8995     0.0021     -3.39647427
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691258
10.0000    0.0021     -3.40691581
10.0000    0.0021     -3.40691581
10.0000    0.0021     -3.40691581
10.0000    0.0021     -3.40691581
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.0499    0.0021     -3.41206620
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.1980    0.0020     -3.42725381
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.2956    0.0020     -3.43716544
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.4403    0.0020     -3.45173396
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.6301    0.0019     -3.47061810
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.7703    0.0019     -3.48440350
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
10.8167    0.0019     -3.48892778
11.0000    0.0018     -3.50669889
11.0000    0.0018     -3.50669889
11.0000    0.0018     -3.50669889
11.0000    0.0018     -3.50669889
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.0454    0.0018     -3.51106054
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
11.1803    0.0018     -3.52395890
