r           d          f
0.0000     49.9643    -0.79494779
1.0770     0.0195     -1.44682920
1.0770     0.0195     -1.44682920
1.4856     0.1062     -1.60485916
1.4856     0.1062     -1.60485916
1.5774     0.0382     -1.67549689
1.5774     0.0382     -1.67549689
2.0605     0.0688     -1.84133572
2.0605     0.0688     -1.84133572
2.1540     0.0143     -1.89707800
2.1540     0.0143     -1.89707800
2.2560     0.0036     -1.93455754
2.2560     0.0036     -1.93455754
2.8689     0.0290     -2.09975193
2.8689     0.0290     -2.09975193
2.9332     0.0311     -2.11560307
2.9332     0.0311     -2.11560307
2.9712     0.0382     -2.12222203
2.9712     0.0382     -2.12222203
3.1548     0.0137     -2.17922827
3.1548     0.0137     -2.17922827
3.1639     0.0014     -2.18683993
3.1639     0.0014     -2.18683993
3.2309     0.0091     -2.19975026
3.2309     0.0091     -2.19975026
3.4271     0.0328     -2.23550971
3.4271     0.0328     -2.23550971
3.7410     0.0050     -2.31786060
3.7410     0.0050     -2.31786060
3.9092     0.0167     -2.34847439
3.9092     0.0167     -2.34847439
4.1209     0.0229     -2.38906453
4.1209     0.0229     -2.38906453
4.1534     0.0019     -2.40484628
4.1534     0.0019     -2.40484628
4.2880     0.0184     -2.42414727
4.2880     0.0184     -2.42414727
4.3079     0.0064     -2.43331515
4.3079     0.0064     -2.43331515
4.3853     0.0131     -2.44530658
4.3853     0.0131     -2.44530658
4.4568     0.0207     -2.45558759
4.4568     0.0207     -2.45558759
4.5119     0.0021     -2.47414877
4.5119     0.0021     -2.47414877
4.7323     0.0077     -2.51231276
4.7323     0.0077     -2.51231276
4.8640     0.0191     -2.53089313
4.8640     0.0191     -2.53089313
4.9274     0.0104     -2.54595480
4.9274     0.0104     -2.54595480
4.9536     0.0155     -2.54828708
4.9536     0.0155     -2.54828708
5.1780     0.0021     -2.59278806
5.1780     0.0021     -2.59278806
5.2799     0.0041     -2.60902224
5.2799     0.0041     -2.60902224
5.3849     0.0048     -2.62611750
5.3849     0.0048     -2.62611750
5.3888     0.0013     -2.62827066
5.3888     0.0013     -2.62827066
5.4565     0.0157     -2.63302787
5.4565     0.0157     -2.63302787
5.7378     0.0104     -2.68028502
5.7378     0.0104     -2.68028502
5.7408     0.0126     -2.67981868
5.7408     0.0126     -2.67981868
5.8664     0.0108     -2.70011256
5.8664     0.0108     -2.70011256
5.9336     0.0076     -2.71179678
5.9336     0.0076     -2.71179678
5.9424     0.0133     -2.71063960
5.9424     0.0133     -2.71063960
5.9663     0.0071     -2.71701400
5.9663     0.0071     -2.71701400
5.9734     0.0023     -2.72021063
5.9734     0.0023     -2.72021063
6.1814     0.0123     -2.74705296
6.1814     0.0123     -2.74705296
6.2202     0.0020     -2.75730026
6.2202     0.0020     -2.75730026
6.3097     0.0051     -2.76906548
6.3097     0.0051     -2.76906548
6.3234     0.0127     -2.76773645
6.3234     0.0127     -2.76773645
6.3278     0.0011     -2.77343674
6.3278     0.0011     -2.77343674
6.4619     0.0038     -2.79167691
6.4619     0.0038     -2.79167691
6.7679     0.0014     -2.83580556
6.7679     0.0014     -2.83580556
6.8272     0.0078     -2.84119888
6.8272     0.0078     -2.84119888
6.8364     0.0033     -2.84445284
6.8364     0.0033     -2.84445284
6.8542     0.0113     -2.84339602
6.8542     0.0113     -2.84339602
6.9974     0.0095     -2.86367656
6.9974     0.0095     -2.86367656
7.0167     0.0053     -2.86811960
7.0167     0.0053     -2.86811960
7.1434     0.0082     -2.88381297
7.1434     0.0082     -2.88381297
7.2070     0.0092     -2.89181042
7.2070     0.0092     -2.89181042
7.2412     0.0067     -2.89738513
7.2412     0.0067     -2.89738513
7.2727     0.0019     -2.90363446
7.2727     0.0019     -2.90363446
7.3049     0.0011     -2.90819459
7.3049     0.0011     -2.90819459
7.4279     0.0095     -2.92051472
7.4279     0.0095     -2.92051472
7.4821     0.0021     -2.93071268
7.4821     0.0021     -2.93071268
7.4940     0.0051     -2.93093147
7.4940     0.0051     -2.93093147
7.5029     0.0095     -2.93014361
7.5029     0.0095     -2.93014361
7.5389     0.0031     -2.93757634
7.5389     0.0031     -2.93757634
7.6320     0.0010     -2.95028532
7.6320     0.0010     -2.95028532
7.7928     0.0092     -2.96691441
7.7928     0.0092     -2.96691441
7.8184     0.0059     -2.97153658
7.8184     0.0059     -2.97153658
7.8765     0.0074     -2.97809934
7.8765     0.0074     -2.97809934
7.8871     0.0037     -2.98100610
7.8871     0.0037     -2.98100610
8.0742     0.0041     -3.00373619
8.0742     0.0041     -3.00373619
8.2186     0.0014     -3.02230521
8.2186     0.0014     -3.02230521
8.2418     0.0079     -3.02225295
8.2418     0.0079     -3.02225295
8.2825     0.0085     -3.02686116
8.2825     0.0085     -3.02686116
8.3068     0.0011     -3.03297357
8.3068     0.0011     -3.03297357
8.3313     0.0017     -3.03560990
8.3313     0.0017     -3.03560990
8.4007     0.0026     -3.04339982
8.4007     0.0026     -3.04339982
8.5446     0.0009     -3.06099225
8.5446     0.0009     -3.06099225
8.5760     0.0065     -3.06219082
8.5760     0.0065     -3.06219082
8.6067     0.0057     -3.06610357
8.6067     0.0057     -3.06610357
8.6159     0.0026     -3.06853113
8.6159     0.0026     -3.06853113
8.6798     0.0070     -3.07394765
8.6798     0.0070     -3.07394765
8.7706     0.0047     -3.08534206
8.7706     0.0047     -3.08534206
8.7996     0.0058     -3.08816179
8.7996     0.0058     -3.08816179
8.8297     0.0046     -3.09209823
8.8297     0.0046     -3.09209823
8.8765     0.0075     -3.09614385
8.8765     0.0075     -3.09614385
8.9135     0.0072     -3.10046066
8.9135     0.0072     -3.10046066
9.0143     0.0019     -3.11408848
9.0143     0.0019     -3.11408848
9.0238     0.0010     -3.11550813
9.0238     0.0010     -3.11550813
9.0488     0.0065     -3.11590738
9.0488     0.0065     -3.11590738
9.0604     0.0037     -3.11840558
9.0604     0.0037     -3.11840558
9.1361     0.0033     -3.12700487
9.1361     0.0033     -3.12700487
9.2673     0.0070     -3.13979825
9.2673     0.0070     -3.13979825
9.3255     0.0010     -3.14875732
9.3255     0.0010     -3.14875732
9.3942     0.0016     -3.15600052
9.3942     0.0016     -3.15600052
9.4645     0.0029     -3.16301920
9.4645     0.0029     -3.16301920
9.4917     0.0008     -3.16683854
9.4917     0.0008     -3.16683854
9.5553     0.0065     -3.17116668
9.5553     0.0065     -3.17116668
9.6928     0.0022     -3.18769090
9.6928     0.0022     -3.18769090
9.7089     0.0014     -3.18974660
9.7089     0.0014     -3.18974660
9.7280     0.0066     -3.18946567
9.7280     0.0066     -3.18946567
9.7544     0.0047     -3.19307777
9.7544     0.0047     -3.19307777
9.8549     0.0037     -3.20404126
9.8549     0.0037     -3.20404126
9.8809     0.0008     -3.20802576
9.8809     0.0008     -3.20802576
9.9073     0.0054     -3.20878266
9.9073     0.0054     -3.20878266
9.9692     0.0022     -3.21661106
9.9692     0.0022     -3.21661106
10.0065    0.0048     -3.21932138
10.0065    0.0048     -3.21932138
10.0240    0.0053     -3.22091695
10.0240    0.0053     -3.22091695
10.1044    0.0042     -3.22966352
10.1044    0.0042     -3.22966352
10.1563    0.0056     -3.23436791
10.1563    0.0056     -3.23436791
10.2013    0.0027     -3.24020028
